Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,17.064303,1,1,2259,0.6547
2,538.931048,1,0,2498,0.6264
3,166.661002,0,0,2731,0.6002
4,-489.699747,0,1,2957,0.5759
5,558.360076,2,1,3198,0.5511
6,558.253172,1,0,3452,0.5263
7,537.739168,1,0,3718,0.5016
8,118.842122,1,1,3987,0.4780
9,550.806280,1,0,4243,0.4566
10,98.912439,0,0,4516,0.4350
11,498.586427,1,0,4813,0.4128
12,139.082201,0,0,5087,0.3935
13,1537.887461,4,1,5388,0.3734
14,125.057226,0,0,5714,0.3530
15,10.708261,0,0,6006,0.3358
16,1174.303880,2,0,6340,0.3173
17,562.339954,1,0,6678,0.2999
18,22.706797,0,0,7001,0.2842
19,-488.589196,0,1,7299,0.2707
20,555.954696,1,0,7592,0.2581
21,4.074357,0,0,7906,0.2454
22,36.551687,0,0,8213,0.2338
23,31.535276,0,0,8543,0.2221
24,1115.732660,2,0,8891,0.2105
25,598.788486,1,0,9218,0.2003
26,-427.786198,0,1,9548,0.1907
27,27.953586,0,0,9912,0.1809
28,532.493469,1,0,10334,0.1703
29,577.907524,1,0,10727,0.1612
30,-290.233178,0,1,11107,0.1530
31,140.328901,0,0,11525,0.1448
32,15.467523,1,1,11939,0.1372
33,26.855909,0,0,12298,0.1312
34,996.628261,3,1,12688,0.1251
35,-33.357667,1,1,13064,0.1197
36,84.452087,0,0,13399,0.1151
37,1004.762355,2,0,13832,0.1097
38,1544.283471,3,0,14252,0.1049
39,496.768022,1,0,14656,0.1007
40,19.641309,1,1,15070,0.0966
41,20.703600,0,0,15476,0.0930
42,24.702648,0,0,15944,0.0892
43,73.223773,0,0,16333,0.0862
44,1100.382132,2,0,16757,0.0833
45,1616.499349,3,0,17159,0.0807
46,25.111125,0,0,17556,0.0784
47,62.841402,2,2,17942,0.0763
48,8.287210,0,0,18311,0.0744
49,14.611752,0,0,18718,0.0725
50,98.895196,0,0,19168,0.0706
51,-436.925031,1,2,19651,0.0687
52,4.063228,0,0,20098,0.0671
53,3.057057,0,0,20469,0.0658
54,30.690276,1,1,20934,0.0644
55,-421.008844,1,2,21312,0.0634
56,108.676027,1,1,21702,0.0624
57,72.166133,0,0,22118,0.0614
58,-14.979098,0,0,22440,0.0607
59,-420.537749,0,1,22917,0.0597
60,648.865705,1,0,23327,0.0589
61,615.959097,1,0,23741,0.0582
62,508.449679,1,0,24258,0.0574
63,24.828597,0,0,24716,0.0568
64,597.346124,2,1,25081,0.0563
65,515.066705,1,0,25496,0.0558
66,-820.954397,0,2,25920,0.0553
67,118.277445,0,0,26344,0.0549
68,566.692534,1,0,26721,0.0545
69,617.131387,1,0,27258,0.0541
70,2230.890123,4,0,27674,0.0537
71,143.015094,0,0,28118,0.0534
72,-486.394955,0,1,28543,0.0532
73,552.945394,1,0,28984,0.0529
74,1089.116819,2,0,29356,0.0527
75,89.394641,0,0,29815,0.0524
76,543.699755,1,0,30375,0.0522
77,-426.000713,1,2,30754,0.0520
78,978.932882,2,0,31176,0.0519
79,39.223007,0,0,31642,0.0517
80,-464.518882,0,1,32099,0.0515
81,2670.504512,5,0,32499,0.0514
82,1015.388119,2,0,32977,0.0513
83,1109.622534,2,0,33418,0.0512
84,93.423793,0,0,33789,0.0511
85,220.247413,0,0,34237,0.0510
86,79.991946,0,0,34633,0.0509
87,75.189242,1,1,35143,0.0508
88,34.555693,0,0,35520,0.0508
89,1.893906,0,0,35889,0.0507
90,-478.345287,0,1,36391,0.0507
91,114.043803,0,0,36700,0.0506
92,1136.520135,2,0,37132,0.0506
93,84.029641,1,1,37570,0.0505
94,-15.608181,0,0,38002,0.0505
95,1076.250965,2,0,38384,0.0504
96,597.644203,1,0,38834,0.0504
97,989.165569,2,0,39303,0.0504
98,14.740191,1,1,39711,0.0503
99,67.804811,0,0,40204,0.0503
100,31.107269,0,0,40606,0.0503
101,569.845489,1,0,41006,0.0503
102,600.399167,1,0,41413,0.0502
103,1081.366367,2,0,41730,0.0502
104,28.296751,0,0,42061,0.0502
105,139.773969,0,0,42410,0.0502
106,721.537810,2,1,42812,0.0502
107,69.215955,0,0,43137,0.0502
108,-379.306212,1,2,43584,0.0502
109,-419.820832,0,1,43967,0.0501
110,1593.987255,3,0,44309,0.0501
111,621.839601,1,0,44772,0.0501
112,-34.237070,0,0,45210,0.0501
113,1049.824608,2,0,45576,0.0501
114,559.666470,1,0,45945,0.0501
115,60.564347,0,0,46369,0.0501
116,21.015354,1,1,46820,0.0501
117,24.143037,0,0,47205,0.0501
118,31.764708,1,1,47545,0.0501
119,1060.437435,2,0,47884,0.0501
120,541.593701,1,0,48344,0.0501
121,2164.247106,4,0,48748,0.0501
122,12.620109,0,0,49183,0.0501
123,-928.019652,0,2,49544,0.0500
124,1043.141270,3,1,49998,0.0500
125,-500.729163,0,1,50290,0.0500
126,539.114515,1,0,50677,0.0500
127,1746.661920,3,0,51064,0.0500
128,556.435012,1,0,51325,0.0500
129,1037.337828,2,0,51664,0.0500
130,1060.114993,2,0,51978,0.0500
131,86.173685,0,0,52320,0.0500
132,1065.007311,2,0,52674,0.0500
133,1512.081870,3,0,53009,0.0500
134,540.035661,1,0,53407,0.0500
135,1022.172132,2,0,53771,0.0500
136,525.484676,1,0,54125,0.0500
137,98.149230,0,0,54469,0.0500
138,73.255062,0,0,54858,0.0500
139,708.322697,2,1,55231,0.0500
140,648.427410,1,0,55592,0.0500
141,2056.754005,4,0,55978,0.0500
142,709.362138,1,0,56332,0.0500
143,548.806743,1,0,56646,0.0500
144,1509.316804,3,0,57044,0.0500
145,35.620121,0,0,57414,0.0500
146,190.248749,1,1,57787,0.0500
147,577.747636,1,0,58172,0.0500
148,1608.448028,4,1,58596,0.0500
149,533.936594,1,0,58920,0.0500
150,-14.734789,1,1,59211,0.0500
151,989.479246,4,2,59595,0.0500
152,724.901652,1,0,59950,0.0500
153,528.382336,1,0,60285,0.0500
154,486.985818,1,0,60625,0.0500
155,183.091579,0,0,61035,0.0500
156,2697.275391,5,0,61387,0.0500
157,104.168223,0,0,61719,0.0500
158,124.593245,1,1,62076,0.0500
159,474.539881,1,0,62415,0.0500
160,1056.128291,2,0,62727,0.0500
161,-296.208490,0,1,63064,0.0500
162,-397.727074,0,1,63499,0.0500
163,-753.357442,0,2,63937,0.0500
164,594.206509,1,0,64323,0.0500
165,643.573072,1,0,64640,0.0500
166,573.156454,1,0,64971,0.0500
167,31.074220,1,1,65258,0.0500
168,-431.730259,0,1,65552,0.0500
169,1685.854279,3,0,65900,0.0500
170,162.794384,0,0,66299,0.0500
171,654.230120,1,0,66668,0.0500
172,1174.816827,2,0,66991,0.0500
173,92.506692,1,1,67331,0.0500
174,64.488662,0,0,67658,0.0500
175,833.093170,2,1,68036,0.0500
