Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,30.770533,1,1,2259,0.6547
2,482.132629,1,0,2497,0.6265
3,-14.190894,0,0,2731,0.6002
4,-546.342106,0,1,2957,0.5759
5,565.974115,2,1,3199,0.5510
6,460.642620,1,0,3452,0.5263
7,506.217054,1,0,3718,0.5016
8,2.707916,1,1,3987,0.4780
9,458.690468,1,0,4242,0.4567
10,-50.363463,0,0,4516,0.4350
11,458.932469,1,0,4813,0.4128
12,-29.652312,0,0,5087,0.3935
13,1485.357803,4,1,5388,0.3734
14,10.106704,0,0,5714,0.3530
15,-43.505916,0,0,6006,0.3358
16,985.895859,2,0,6340,0.3173
17,487.807021,1,0,6677,0.2999
18,-20.712998,0,0,7001,0.2842
19,-491.995433,0,1,7299,0.2707
20,553.831700,1,0,7592,0.2581
21,-32.757319,0,0,7906,0.2454
22,102.987261,0,0,8213,0.2338
23,-42.562742,0,0,8542,0.2221
24,975.579949,2,0,8891,0.2105
25,454.273308,1,0,9218,0.2003
26,-468.776882,0,1,9548,0.1907
27,32.915729,0,0,9912,0.1809
28,489.017335,1,0,10335,0.1702
29,526.670470,1,0,10728,0.1611
30,-446.603085,0,1,11107,0.1530
31,-20.455232,0,0,11525,0.1448
32,9.387731,1,1,11939,0.1372
33,39.626797,0,0,12297,0.1312
34,1038.064339,3,1,12689,0.1251
35,18.724007,1,1,13065,0.1196
36,13.596544,0,0,13397,0.1152
37,1077.170991,2,0,13832,0.1097
38,1631.957360,3,0,14250,0.1050
39,501.717149,1,0,14656,0.1007
40,21.486092,1,1,15070,0.0966
41,16.867748,0,0,15476,0.0930
42,56.447083,0,0,15943,0.0892
43,-16.155373,0,0,16333,0.0862
44,1037.808680,2,0,16757,0.0833
45,1490.521764,3,0,17159,0.0807
46,13.810713,0,0,17556,0.0784
47,78.103825,2,2,17942,0.0763
48,79.820481,0,0,18311,0.0744
49,-19.325757,0,0,18718,0.0725
50,-21.478698,0,0,19168,0.0706
51,-496.975494,1,2,19650,0.0687
52,80.802187,0,0,20097,0.0671
53,-41.210281,0,0,20469,0.0658
54,10.061771,1,1,20934,0.0644
55,-500.963076,1,2,21313,0.0634
56,79.018112,1,1,21709,0.0624
57,-10.797078,0,0,22118,0.0614
58,-23.573072,0,0,22440,0.0607
59,-362.763246,0,1,22912,0.0597
60,463.490303,1,0,23327,0.0589
61,489.081154,1,0,23741,0.0582
62,476.420484,1,0,24258,0.0574
63,53.969735,0,0,24716,0.0568
64,503.554228,2,1,25081,0.0563
65,536.878670,1,0,25496,0.0558
66,-946.313238,0,2,25920,0.0553
67,-11.320313,0,0,26343,0.0549
68,475.851367,1,0,26721,0.0545
69,488.498929,1,0,27258,0.0541
70,2006.703162,4,0,27674,0.0537
71,21.752070,0,0,28119,0.0534
72,-450.952333,0,1,28543,0.0532
73,471.048602,1,0,28985,0.0529
74,1003.265356,2,0,29356,0.0527
75,12.709066,0,0,29816,0.0524
76,571.343596,1,0,30375,0.0522
77,-491.242913,1,2,30754,0.0520
78,1026.474011,2,0,31176,0.0519
79,-46.059223,0,0,31642,0.0517
80,-433.944035,0,1,32099,0.0515
81,2450.908918,5,0,32498,0.0514
82,1002.832913,2,0,32977,0.0513
83,956.092698,2,0,33418,0.0512
84,87.755285,0,0,33789,0.0511
85,-38.113244,0,0,34237,0.0510
86,-34.745735,0,0,34633,0.0509
87,-59.703091,1,1,35143,0.0508
88,-44.510391,0,0,35520,0.0508
