Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,-250.300623,1,1,2259,0.6547
2,-53.482484,1,0,2497,0.6265
3,-428.398454,0,0,2731,0.6002
4,-918.066395,0,1,2957,0.5759
5,130.090498,2,1,3199,0.5510
6,148.353926,1,0,3452,0.5263
7,259.968804,1,0,3719,0.5015
8,-502.417028,1,1,3987,0.4780
9,76.196081,1,0,4242,0.4567
10,-477.450400,0,0,4516,0.4350
11,49.794669,1,0,4813,0.4128
12,-456.626075,0,0,5087,0.3935
13,882.653803,4,1,5388,0.3734
14,-697.976843,0,0,5714,0.3530
15,-383.252946,0,0,6007,0.3357
16,719.556372,2,0,6340,0.3173
17,39.682756,1,0,6678,0.2999
18,-396.873478,0,0,7001,0.2842
19,-904.910711,0,1,7299,0.2707
20,-17.524445,1,0,7592,0.2581
21,-173.812158,0,0,7907,0.2454
22,-444.065217,0,0,8213,0.2338
23,-616.412283,0,0,8542,0.2221
24,781.216604,2,0,8891,0.2105
25,-168.337481,1,0,9219,0.2003
26,-1199.011494,0,1,9548,0.1907
27,-446.171382,0,0,9913,0.1808
28,56.648745,1,0,10334,0.1703
29,-80.955721,1,0,10728,0.1611
30,-1282.135783,0,1,11107,0.1530
31,-109.691277,0,0,11525,0.1448
32,-572.804121,1,1,11939,0.1372
33,-518.850689,0,0,12297,0.1312
34,125.648565,3,1,12688,0.1251
35,-450.980080,1,1,13064,0.1197
36,-215.138439,0,0,13398,0.1152
37,402.016677,2,0,13832,0.1097
38,1371.326171,3,0,14252,0.1049
39,-4.828687,1,0,14656,0.1007
40,-366.403571,1,1,15071,0.0966
41,-612.171093,0,0,15476,0.0930
42,-392.571631,0,0,15943,0.0892
43,-689.566629,0,0,16333,0.0862
44,504.144689,2,0,16758,0.0833
45,1297.080900,3,0,17159,0.0807
46,-484.433116,0,0,17556,0.0784
47,-627.023771,2,2,17942,0.0763
48,-602.744005,0,0,18312,0.0744
49,-528.526067,0,0,18718,0.0725
50,-365.458310,0,0,19169,0.0705
51,-962.822547,1,2,19651,0.0687
52,-383.387432,0,0,20097,0.0671
53,-375.045135,0,0,20469,0.0658
54,-631.537156,1,1,20934,0.0644
55,-1119.226694,1,2,21312,0.0634
56,-569.421830,1,1,21708,0.0624
57,-357.186651,0,0,22118,0.0614
58,-437.116065,0,0,22440,0.0607
59,-924.586360,0,1,22918,0.0597
60,21.855891,1,0,23326,0.0589
61,29.363165,1,0,23741,0.0582
62,160.696835,1,0,24258,0.0574
63,-481.488194,0,0,24716,0.0568
64,10.101633,2,1,25081,0.0563
65,52.780273,1,0,25497,0.0558
66,-1296.256236,0,2,25920,0.0553
67,-520.478020,0,0,26343,0.0549
68,141.146345,1,0,26721,0.0545
69,-115.078303,1,0,27258,0.0541
70,1724.802709,4,0,27674,0.0537
71,-338.928887,0,0,28118,0.0534
72,-968.208663,0,1,28543,0.0532
73,177.278494,1,0,28985,0.0529
74,258.459191,2,0,29356,0.0527
75,-687.777166,0,0,29815,0.0524
76,148.536975,1,0,30375,0.0522
77,-674.829821,1,2,30755,0.0520
78,442.032196,2,0,31176,0.0519
79,-387.708843,0,0,31642,0.0517
80,-813.818265,0,1,32099,0.0515
81,2173.869263,5,0,32498,0.0514
82,568.973674,2,0,32977,0.0513
83,605.190280,2,0,33418,0.0512
84,-284.211481,0,0,33789,0.0511
85,-653.696985,0,0,34237,0.0510
86,-615.494309,0,0,34633,0.0509
87,-902.142446,1,1,35143,0.0508
88,-535.943283,0,0,35520,0.0508
89,-293.651293,0,0,35889,0.0507
90,-933.839311,0,1,36391,0.0507
91,-547.765056,0,0,36700,0.0506
92,621.521394,2,0,37132,0.0506
93,-441.790145,1,1,37570,0.0505
94,-325.116759,0,0,38002,0.0505
95,589.863994,2,0,38384,0.0504
96,285.765980,1,0,38834,0.0504
97,671.650579,2,0,39303,0.0504
98,-708.372048,1,1,39711,0.0503
99,-394.798220,0,0,40204,0.0503
100,-560.044984,0,0,40606,0.0503
101,-312.640347,1,0,41006,0.0503
102,-19.213304,1,0,41413,0.0502
103,393.216028,2,0,41730,0.0502
104,-781.819232,0,0,42061,0.0502
105,-408.416266,0,0,42411,0.0502
106,-194.056265,2,1,42811,0.0502
107,-413.157588,0,0,43137,0.0502
108,-1075.002256,1,2,43583,0.0502
109,-1067.302038,0,1,43967,0.0501
110,1001.474602,3,0,44310,0.0501
111,248.673970,1,0,44772,0.0501
112,-572.010538,0,0,45210,0.0501
113,430.101126,2,0,45576,0.0501
114,38.517755,1,0,45945,0.0501
115,-375.428673,0,0,46371,0.0501
116,-371.306910,1,1,46820,0.0501
117,-932.711617,0,0,47206,0.0501
118,-555.547700,1,1,47545,0.0501
119,546.065389,2,0,47884,0.0501
120,40.140365,1,0,48344,0.0501
121,1215.034463,4,0,48748,0.0501
122,-441.253071,0,0,49183,0.0501
123,-1185.073082,0,2,49544,0.0500
124,820.356517,3,1,49996,0.0500
125,-818.910730,0,1,50290,0.0500
126,164.742960,1,0,50676,0.0500
127,974.437017,3,0,51065,0.0500
128,-239.738067,1,0,51325,0.0500
129,355.271346,2,0,51663,0.0500
130,429.177682,2,0,51978,0.0500
131,-408.265951,0,0,52320,0.0500
132,470.558217,2,0,52673,0.0500
133,823.135430,3,0,53009,0.0500
134,30.819577,1,0,53407,0.0500
135,681.108628,2,0,53771,0.0500
136,10.429465,1,0,54125,0.0500
137,-496.157880,0,0,54469,0.0500
138,-704.916299,0,0,54858,0.0500
139,83.302112,2,1,55231,0.0500
140,438.165003,1,0,55592,0.0500
141,1809.166540,4,0,55978,0.0500
142,63.500971,1,0,56332,0.0500
143,-354.139756,1,0,56645,0.0500
144,985.771963,3,0,57044,0.0500
145,-598.876194,0,0,57414,0.0500
146,-788.849486,1,1,57787,0.0500
147,-172.825851,1,0,58172,0.0500
148,1195.273608,4,1,58596,0.0500
149,193.003053,1,0,58920,0.0500
150,-396.996788,1,1,59211,0.0500
151,576.146937,4,2,59594,0.0500
152,155.846554,1,0,59950,0.0500
153,174.892743,1,0,60286,0.0500
154,-19.893311,1,0,60626,0.0500
155,-426.552385,0,0,61035,0.0500
156,1873.125324,5,0,61387,0.0500
157,-367.685810,0,0,61718,0.0500
158,-327.793206,1,1,62076,0.0500
159,76.542739,1,0,62415,0.0500
160,769.492385,2,0,62727,0.0500
161,-912.298403,0,1,63064,0.0500
162,-648.378231,0,1,63499,0.0500
163,-1352.021212,0,2,63937,0.0500
164,-85.269624,1,0,64323,0.0500
165,-91.052224,1,0,64639,0.0500
166,187.291131,1,0,64971,0.0500
167,-316.789436,1,1,65258,0.0500
168,-1069.756145,0,1,65553,0.0500
169,956.046003,3,0,65901,0.0500
170,-371.802394,0,0,66299,0.0500
171,213.062828,1,0,66668,0.0500
172,674.093172,2,0,66991,0.0500
173,-326.188531,1,1,67331,0.0500
174,-874.358722,0,0,67658,0.0500
175,-166.030040,2,1,68036,0.0500
176,-1286.976963,0,1,68361,0.0500
177,-1082.737620,0,1,68740,0.0500
178,82.088227,1,0,69051,0.0500
179,-296.459962,0,0,69393,0.0500
