Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,-1126.369562,1,1,2258,0.6548
2,-713.042378,1,0,2497,0.6265
3,-821.653393,0,0,2732,0.6001
4,-1459.975084,0,1,2957,0.5759
5,-479.316159,2,1,3200,0.5509
6,-678.574654,1,0,3453,0.5262
7,-755.583980,1,0,3718,0.5016
8,-1351.762505,1,1,3987,0.4780
9,-520.724815,1,0,4242,0.4567
10,-952.580800,0,0,4516,0.4350
11,-545.471869,1,0,4813,0.4128
12,-914.420251,0,0,5087,0.3935
13,649.037202,4,1,5389,0.3733
14,-1025.725023,0,0,5714,0.3530
15,-697.288720,0,0,6006,0.3358
16,123.627199,2,0,6340,0.3173
17,-424.899019,1,0,6678,0.2999
18,-1249.898950,0,0,6999,0.2843
19,-1036.570446,0,1,7300,0.2706
20,-431.796457,1,0,7592,0.2581
21,-813.644578,0,0,7906,0.2454
22,-798.082031,0,0,8213,0.2338
23,-1280.858990,0,0,8542,0.2221
24,-92.583535,2,0,8892,0.2105
25,-439.148999,1,0,9218,0.2003
26,-1615.500113,0,1,9547,0.1908
27,-1110.502110,0,0,9912,0.1809
28,-389.217283,1,0,10334,0.1703
29,-533.623536,1,0,10727,0.1612
30,-1701.631339,0,1,11107,0.1530
31,-994.697967,0,0,11525,0.1448
32,-1301.459370,1,1,11939,0.1372
33,-978.024679,0,0,12297,0.1312
34,-33.657460,3,1,12688,0.1251
35,-889.431234,1,1,13064,0.1197
36,-725.996848,0,0,13398,0.1152
37,-44.022785,2,0,13832,0.1097
38,669.794863,3,0,14252,0.1049
39,-780.707149,1,0,14657,0.1007
40,-1052.524545,1,1,15070,0.0966
41,-947.866360,0,0,15476,0.0930
42,-1225.355314,0,0,15943,0.0892
43,-1218.858853,0,0,16333,0.0862
44,312.273524,2,0,16757,0.0833
45,889.301818,3,0,17159,0.0807
46,-1139.168477,0,0,17556,0.0784
47,-823.758659,2,2,17942,0.0763
48,-1115.108943,0,0,18311,0.0744
49,-742.983230,0,0,18718,0.0725
50,-1155.897965,0,0,19168,0.0706
51,-1269.715871,1,2,19651,0.0687
52,-837.256014,0,0,20097,0.0671
53,-1055.374287,0,0,20469,0.0658
54,-1233.003973,1,1,20935,0.0644
55,-1569.203437,1,2,21312,0.0634
56,-931.038614,1,1,21708,0.0624
57,-825.314489,0,0,22118,0.0614
58,-631.663453,0,0,22440,0.0607
59,-1385.168152,0,1,22917,0.0597
60,-382.305481,1,0,23327,0.0589
61,-649.646660,1,0,23741,0.0582
62,-769.126280,1,0,24258,0.0574
63,-1457.221704,0,0,24716,0.0568
64,-688.239782,2,1,25081,0.0563
65,-499.828552,1,0,25496,0.0558
66,-1988.015602,0,2,25920,0.0553
67,-928.696403,0,0,26343,0.0549
68,-776.183924,1,0,26721,0.0545
69,-310.499661,1,0,27258,0.0541
70,950.821361,4,0,27674,0.0537
71,-1182.668801,0,0,28118,0.0534
72,-1453.593959,0,1,28543,0.0532
73,-693.100379,1,0,28985,0.0529
74,62.068411,2,0,29356,0.0527
75,-1247.258062,0,0,29815,0.0524
76,-571.661672,1,0,30375,0.0522
77,-1422.783458,1,2,30754,0.0520
78,220.515028,2,0,31176,0.0519
79,-905.457641,0,0,31643,0.0517
80,-1550.117883,0,1,32099,0.0515
81,1632.356558,5,0,32498,0.0514
82,149.158708,2,0,32977,0.0513
83,325.464176,2,0,33418,0.0512
84,-1098.432291,0,0,33789,0.0511
85,-1151.337002,0,0,34237,0.0510
86,-1093.054920,0,0,34633,0.0509
87,-1035.292915,1,1,35143,0.0508
88,-1451.466405,0,0,35520,0.0508
89,-1075.594714,0,0,35889,0.0507
90,-1569.893039,0,1,36391,0.0507
91,-817.199469,0,0,36701,0.0506
92,132.263920,2,0,37132,0.0506
93,-1276.059155,1,1,37571,0.0505
94,-902.075855,0,0,38002,0.0505
95,-258.499284,2,0,38384,0.0504
96,-885.078524,1,0,38835,0.0504
97,-8.906929,2,0,39303,0.0504
98,-875.233531,1,1,39711,0.0503
99,-1211.401722,0,0,40204,0.0503
100,-965.903147,0,0,40607,0.0503
101,-376.417385,1,0,41007,0.0503
102,-533.666982,1,0,41413,0.0502
103,273.420803,2,0,41730,0.0502
104,-1266.836608,0,0,42061,0.0502
105,-1127.879847,0,0,42411,0.0502
106,-654.660713,2,1,42811,0.0502
107,-1710.661181,0,0,43137,0.0502
108,-1749.760567,1,2,43583,0.0502
109,-1723.780998,0,1,43967,0.0501
110,622.854239,3,0,44309,0.0501
111,-559.986015,1,0,44772,0.0501
112,-1046.754376,0,0,45211,0.0501
113,-107.821782,2,0,45576,0.0501
114,-307.802847,1,0,45945,0.0501
115,-868.008300,0,0,46371,0.0501
116,-1115.034895,1,1,46820,0.0501
117,-808.004692,0,0,47206,0.0501
118,-757.988627,1,1,47545,0.0501
119,-228.371743,2,0,47884,0.0501
120,-372.063297,1,0,48344,0.0501
121,419.535324,4,0,48748,0.0501
122,-1073.398162,0,0,49183,0.0501
123,-2196.955555,0,2,49545,0.0500
124,1.000523,3,1,49998,0.0500
125,-1416.759578,0,1,50290,0.0500
126,-361.831932,1,0,50676,0.0500
127,660.861732,3,0,51064,0.0500
128,-257.363287,1,0,51325,0.0500
129,-160.644783,2,0,51662,0.0500
130,170.456612,2,0,51978,0.0500
131,-752.580953,0,0,52320,0.0500
132,-404.144327,2,0,52673,0.0500
133,805.600923,3,0,53009,0.0500
134,-677.351811,1,0,53407,0.0500
135,256.058914,2,0,53771,0.0500
136,-455.335571,1,0,54126,0.0500
137,-1034.752139,0,0,54469,0.0500
138,-965.298722,0,0,54858,0.0500
139,-989.762326,2,1,55231,0.0500
140,-513.067051,1,0,55592,0.0500
141,1270.274771,4,0,55978,0.0500
142,-207.946610,1,0,56332,0.0500
143,-703.988929,1,0,56645,0.0500
