Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
139,-350.749494,2,1,55232,0.0500
140,392.782786,1,0,55592,0.0500
141,1625.926190,4,0,55977,0.0500
142,-170.129751,1,0,56332,0.0500
143,-295.941200,1,0,56645,0.0500
144,916.707634,3,0,57044,0.0500
145,-801.146042,0,0,57414,0.0500
146,-921.505033,1,1,57787,0.0500
147,95.486772,1,0,58172,0.0500
148,772.134845,4,1,58596,0.0500
149,82.414133,1,0,58920,0.0500
150,-709.099996,1,1,59211,0.0500
151,240.645293,4,2,59594,0.0500
152,-288.379539,1,0,59950,0.0500
153,97.220722,1,0,60285,0.0500
154,-341.042621,1,0,60626,0.0500
155,-896.666453,0,0,61035,0.0500
156,1636.719937,5,0,61387,0.0500
157,-644.245806,0,0,61719,0.0500
158,-519.581885,1,1,62076,0.0500
159,-590.575938,1,0,62415,0.0500
160,659.842658,2,0,62727,0.0500
161,-1531.132170,0,1,63064,0.0500
162,-1800.608037,0,1,63500,0.0500
163,-1918.548166,0,2,63938,0.0500
164,-616.686815,1,0,64323,0.0500
165,-432.610854,1,0,64639,0.0500
166,-34.197691,1,0,64971,0.0500
167,-531.670377,1,1,65258,0.0500
168,-971.147210,0,1,65552,0.0500
169,751.651596,3,0,65900,0.0500
170,-580.965774,0,0,66299,0.0500
171,45.711533,1,0,66667,0.0500
172,415.307336,2,0,66991,0.0500
173,-153.403426,1,1,67331,0.0500
174,-556.503707,0,0,67658,0.0500
175,123.216693,2,1,68037,0.0500
176,-1297.241641,0,1,68361,0.0500
177,-1490.529793,0,1,68740,0.0500
178,-39.135841,1,0,69049,0.0500
179,-916.130374,0,0,69392,0.0500
180,-580.904235,0,0,69703,0.0500
181,-384.106722,0,0,70060,0.0500
182,-354.249924,2,1,70384,0.0500
183,1550.366341,4,0,70671,0.0500
184,1829.933025,5,0,71035,0.0500
185,655.849537,3,0,71337,0.0500
186,-66.344133,3,1,71712,0.0500
187,-494.709716,0,0,72007,0.0500
188,-789.919406,1,1,72331,0.0500
189,1193.929391,3,0,72620,0.0500
190,-446.455815,1,0,72945,0.0500
191,-753.075728,1,0,73228,0.0500
192,49.696201,1,0,73528,0.0500
193,-539.917686,0,0,73918,0.0500
194,-244.809370,2,1,74274,0.0500
195,-34.098302,2,1,74621,0.0500
196,-306.985346,0,0,74930,0.0500
197,-728.786075,1,0,75242,0.0500
198,-1167.488983,0,0,75597,0.0500
199,-519.081702,0,0,75959,0.0500
200,-875.109895,0,0,76319,0.0500
201,-786.112594,0,0,76662,0.0500
202,-930.877388,0,0,77054,0.0500
203,619.562599,3,1,77330,0.0500
204,-797.799154,0,1,77689,0.0500
205,-499.927997,0,0,78001,0.0500
206,-848.976081,0,0,78284,0.0500
207,-780.765313,0,0,78635,0.0500
208,814.352447,2,0,79044,0.0500
209,-828.015472,0,0,79405,0.0500
210,105.747955,2,0,79736,0.0500
211,-1493.218548,0,0,80104,0.0500
212,-681.334440,0,0,80431,0.0500
213,1347.084720,3,0,80755,0.0500
214,-483.685795,0,0,81154,0.0500
215,-891.343702,0,0,81533,0.0500
216,-920.080655,0,0,81901,0.0500
217,-629.882730,1,0,82225,0.0500
218,-925.360642,0,0,82568,0.0500
219,-1085.041068,0,0,82876,0.0500
220,-1415.501605,0,1,83167,0.0500
221,-1856.216108,0,1,83483,0.0500
222,-204.542604,1,0,83699,0.0500
223,-727.448411,0,0,84013,0.0500
224,-107.337984,1,0,84350,0.0500
225,243.820788,2,0,84656,0.0500
226,-726.125481,0,0,84970,0.0500
227,1527.756333,4,0,85331,0.0500
228,-899.771979,0,0,85637,0.0500
229,-561.481531,1,0,86018,0.0500
230,41.745747,1,0,86298,0.0500
231,-886.640778,0,1,86584,0.0500
232,236.364243,2,0,86947,0.0500
233,-1100.705374,0,0,87289,0.0500
234,-1491.118767,0,1,87615,0.0500
235,-382.288298,1,0,87904,0.0500
236,-1170.414785,0,0,88261,0.0500
237,-317.794159,2,0,88670,0.0500
238,-338.406750,1,0,89025,0.0500
239,-148.395571,1,0,89349,0.0500
240,-907.699772,0,0,89653,0.0500
241,-1035.935770,1,1,89951,0.0500
242,914.098309,2,0,90390,0.0500
243,-183.436024,0,0,90738,0.0500
244,13.485414,2,0,90998,0.0500
245,-854.768705,0,0,91272,0.0500
246,-539.935813,1,0,91531,0.0500
247,95.184305,2,0,91790,0.0500
248,-171.637982,1,0,92098,0.0500
249,-301.570165,1,0,92432,0.0500
250,-896.895921,0,0,92682,0.0500
251,-1207.227971,0,1,92970,0.0500
252,696.104068,3,0,93274,0.0500
253,103.997060,2,0,93546,0.0500
254,548.624909,2,0,93830,0.0500
255,-1502.730280,1,2,94153,0.0500
256,196.136774,1,0,94514,0.0500
257,-946.134425,0,1,94835,0.0500
258,554.676753,2,0,95121,0.0500
259,-674.753579,0,0,95440,0.0500
260,-1433.353489,0,0,95790,0.0500
261,128.300579,2,0,96114,0.0500
262,-45.753476,1,0,96414,0.0500
263,697.489218,2,0,96700,0.0500
264,-390.928465,1,0,97063,0.0500
265,651.000604,2,0,97382,0.0500
266,-578.385221,0,0,97664,0.0500
267,-1375.271337,0,1,97968,0.0500
268,-926.968843,0,0,98320,0.0500
269,-217.178220,1,0,98670,0.0500
270,-601.790300,0,0,98991,0.0500
271,-731.541447,1,1,99365,0.0500
272,175.183059,1,0,99775,0.0500
273,-313.373184,1,1,100037,0.0500
274,-979.192451,0,1,100345,0.0500
275,-1127.133695,0,0,100677,0.0500
276,-794.595841,0,0,100993,0.0500
277,-141.393566,2,1,101299,0.0500
278,21.469469,1,0,101582,0.0500
279,-685.155367,1,1,101895,0.0500
280,-1393.581838,1,2,102238,0.0500
281,-832.957562,0,0,102566,0.0500
282,-501.031156,1,0,102842,0.0500
