Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,-830.113874,1,1,2259,0.6547
2,-648.221323,1,0,2497,0.6265
3,-893.812855,0,0,2731,0.6002
4,-1433.007193,0,1,2957,0.5759
5,-334.637071,2,1,3199,0.5510
6,-644.164733,1,0,3452,0.5263
7,-777.013898,1,0,3718,0.5016
8,-898.523045,1,1,3988,0.4779
9,-339.293092,1,0,4242,0.4567
10,-1313.152904,0,0,4516,0.4350
11,-805.024648,1,0,4813,0.4128
12,-752.371938,0,0,5087,0.3935
13,384.633803,4,1,5388,0.3734
14,-1026.268313,0,0,5714,0.3530
15,-749.927013,0,0,6006,0.3358
16,4.793956,2,0,6340,0.3173
17,-474.567401,1,0,6678,0.2999
18,-1290.273897,0,0,7001,0.2842
19,-1232.523105,0,1,7299,0.2707
20,-419.719516,1,0,7592,0.2581
21,-1008.687391,0,0,7904,0.2455
22,-1120.728760,0,0,8213,0.2338
23,-1002.947354,0,0,8542,0.2221
24,-274.702180,2,0,8891,0.2105
25,-758.085596,1,0,9218,0.2003
26,-1459.104928,0,1,9548,0.1907
27,-959.901360,0,0,9912,0.1809
28,-462.339173,1,0,10334,0.1703
29,-1012.621199,1,0,10728,0.1611
30,-1684.028535,0,1,11107,0.1530
31,-1030.149311,0,0,11526,0.1448
32,-1095.880324,1,1,11938,0.1373
33,-1411.995533,0,0,12297,0.1312
34,-113.359869,3,1,12688,0.1251
35,-1108.883536,1,1,13064,0.1197
36,-753.172501,0,0,13398,0.1152
37,-74.530597,2,0,13832,0.1097
38,604.694974,3,0,14252,0.1049
39,-484.303284,1,0,14656,0.1007
40,-1259.121107,1,1,15070,0.0966
41,-993.869872,0,0,15477,0.0930
42,-1214.045273,0,0,15943,0.0892
43,-1194.051091,0,0,16334,0.0862
44,213.105796,2,0,16757,0.0833
45,408.710417,3,0,17159,0.0807
46,-969.298310,0,0,17556,0.0784
47,-934.484447,2,2,17942,0.0763
48,-853.465221,0,0,18311,0.0744
49,-1088.913279,0,0,18718,0.0725
50,-1219.362931,0,0,19168,0.0706
51,-1562.020284,1,2,19651,0.0687
52,-790.998224,0,0,20097,0.0671
53,-1016.369613,0,0,20469,0.0658
54,-1291.098651,1,1,20934,0.0644
55,-1416.354698,1,2,21312,0.0634
56,-905.225111,1,1,21708,0.0624
57,-866.253536,0,0,22118,0.0614
58,-977.543298,0,0,22439,0.0607
59,-1360.246391,0,1,22917,0.0597
60,-130.199860,1,0,23327,0.0589
61,-702.548202,1,0,23741,0.0582
62,-645.851973,1,0,24258,0.0574
63,-1382.916472,0,0,24716,0.0568
64,-932.308758,2,1,25081,0.0563
65,-175.996253,1,0,25496,0.0558
66,-2195.028680,0,2,25920,0.0553
67,-1230.345450,0,0,26343,0.0549
68,-992.903059,1,0,26721,0.0545
69,-572.246603,1,0,27259,0.0541
70,724.878617,4,0,27674,0.0537
71,-1389.899859,0,0,28118,0.0534
72,-1172.139614,0,1,28543,0.0532
73,-402.991987,1,0,28984,0.0529
74,206.147966,2,0,29356,0.0527
75,-1099.396881,0,0,29814,0.0524
76,-755.831892,1,0,30375,0.0522
77,-1452.450746,1,2,30754,0.0520
78,435.270264,2,0,31174,0.0519
79,-1007.282794,0,0,31642,0.0517
80,-1745.659005,0,1,32099,0.0515
81,1970.554181,5,0,32498,0.0514
82,160.543859,2,0,32977,0.0513
83,543.345631,2,0,33419,0.0512
84,-820.734259,0,0,33789,0.0511
85,-1355.800034,0,0,34237,0.0510
86,-1157.701917,0,0,34633,0.0509
87,-1075.723600,1,1,35143,0.0508
88,-1274.068413,0,0,35520,0.0508
89,-1063.662543,0,0,35889,0.0507
90,-1769.398179,0,1,36391,0.0507
91,-1016.541409,0,0,36700,0.0506
92,45.768291,2,0,37132,0.0506
93,-571.975224,1,1,37570,0.0505
94,-966.368476,0,0,38003,0.0505
95,-34.882278,2,0,38384,0.0504
96,-1047.252783,1,0,38834,0.0504
97,-140.014198,2,0,39303,0.0504
98,-905.930978,1,1,39711,0.0503
99,-939.714763,0,0,40205,0.0503
100,-1160.076469,0,0,40606,0.0503
101,-309.281490,1,0,41006,0.0503
102,-1030.259532,1,0,41413,0.0502
103,61.132372,2,0,41730,0.0502
104,-794.520590,0,0,42061,0.0502
105,-633.283141,0,0,42411,0.0502
106,-535.233325,2,1,42811,0.0502
107,-1439.853690,0,0,43137,0.0502
108,-1382.115612,1,2,43583,0.0502
109,-1597.568489,0,1,43967,0.0501
110,1079.914314,3,0,44309,0.0501
111,-731.351926,1,0,44773,0.0501
112,-1410.545918,0,0,45210,0.0501
113,87.790154,2,0,45573,0.0501
114,-624.501569,1,0,45945,0.0501
115,-754.795742,0,0,46371,0.0501
116,-985.895923,1,1,46820,0.0501
117,-1189.918674,0,0,47206,0.0501
118,-1207.686176,1,1,47545,0.0501
119,-124.032577,2,0,47884,0.0501
