Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,-672.657537,1,1,2260,0.6545
2,-145.136853,1,0,2497,0.6265
3,-458.613443,0,0,2731,0.6002
4,-717.719765,0,1,2958,0.5758
5,92.151219,2,1,3199,0.5510
6,66.626818,1,0,3452,0.5263
7,-71.410886,1,0,3718,0.5016
8,-292.368134,1,1,3987,0.4780
9,11.228364,1,0,4242,0.4567
10,-499.605196,0,0,4517,0.4349
11,209.400337,1,0,4813,0.4128
12,-550.833292,0,0,5087,0.3935
13,909.710428,4,1,5388,0.3734
14,-464.229898,0,0,5714,0.3530
15,-424.769630,0,0,6006,0.3358
16,445.951654,2,0,6340,0.3173
17,8.218178,1,0,6678,0.2999
18,-566.050044,0,0,7001,0.2842
19,-892.777705,0,1,7299,0.2707
20,61.685967,1,0,7592,0.2581
21,-361.890800,0,0,7906,0.2454
22,-654.803190,0,0,8213,0.2338
23,-709.745219,0,0,8542,0.2221
24,548.843542,2,0,8891,0.2105
25,-79.731701,1,0,9218,0.2003
26,-921.107044,0,1,9548,0.1907
27,-607.823742,0,0,9912,0.1809
28,37.729391,1,0,10334,0.1703
29,-125.963648,1,0,10729,0.1611
30,-1144.095640,0,1,11107,0.1530
31,-488.332704,0,0,11525,0.1448
32,-480.271027,1,1,11939,0.1372
33,-292.439034,0,0,12297,0.1312
34,580.138806,3,1,12688,0.1251
35,-439.559458,1,1,13064,0.1197
36,-334.161458,0,0,13398,0.1152
37,572.567758,2,0,13832,0.1097
38,799.690276,3,0,14253,0.1049
39,-229.353364,1,0,14656,0.1007
40,-661.109042,1,1,15070,0.0966
41,-415.858530,0,0,15476,0.0930
42,-504.824070,0,0,15943,0.0892
43,-662.706492,0,0,16333,0.0862
44,572.537086,2,0,16757,0.0833
45,816.546763,3,0,17159,0.0807
46,-493.086251,0,0,17557,0.0784
47,-801.924575,2,2,17942,0.0763
48,-489.307462,0,0,18311,0.0744
49,-348.323164,0,0,18718,0.0725
50,-407.162589,0,0,19168,0.0706
51,-816.161644,1,2,19652,0.0687
52,-635.934359,0,0,20097,0.0671
53,-473.889420,0,0,20469,0.0658
54,-425.886610,1,1,20934,0.0644
55,-1061.253343,1,2,21312,0.0634
56,-823.009130,1,1,21708,0.0624
57,-207.150209,0,0,22118,0.0614
58,-303.453198,0,0,22440,0.0607
59,-868.761215,0,1,22917,0.0597
60,18.170654,1,0,23327,0.0589
61,-115.241030,1,0,23742,0.0582
62,169.867518,1,0,24258,0.0574
63,-702.052670,0,0,24717,0.0568
64,-76.279147,2,1,25081,0.0563
65,-22.632680,1,0,25496,0.0558
66,-1462.700907,0,2,25920,0.0553
67,-240.363756,0,0,26342,0.0549
68,-44.027437,1,0,26721,0.0545
69,1.426872,1,0,27258,0.0541
70,1133.161064,4,0,27674,0.0537
71,-671.726070,0,0,28118,0.0534
