Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,-1188.279156,1,1,2258,0.6548
2,-795.516107,1,0,2497,0.6265
3,-1149.177489,0,0,2731,0.6002
4,-1535.173052,0,1,2957,0.5759
5,-437.087205,2,1,3199,0.5510
6,-538.010978,1,0,3452,0.5263
7,-737.397257,1,0,3718,0.5016
8,-1283.832571,1,1,3987,0.4780
9,-597.234710,1,0,4242,0.4567
10,-1170.864870,0,0,4516,0.4350
11,-587.382132,1,0,4813,0.4128
12,-919.211758,0,0,5087,0.3935
13,188.153856,4,1,5388,0.3734
14,-1155.211091,0,0,5714,0.3530
15,-894.248756,0,0,6006,0.3358
16,-92.774268,2,0,6341,0.3173
17,-591.973651,1,0,6678,0.2999
18,-1300.244988,0,0,7001,0.2842
19,-1689.680002,0,1,7299,0.2707
20,-744.978605,1,0,7593,0.2581
21,-1034.808783,0,0,7906,0.2454
22,-1085.656333,0,0,8213,0.2338
23,-1398.233898,0,0,8542,0.2221
24,-290.254672,2,0,8891,0.2105
25,-800.751082,1,0,9218,0.2003
26,-1766.666672,0,1,9549,0.1907
27,-1227.049308,0,0,9912,0.1809
28,-716.401798,1,0,10334,0.1703
29,-1002.697337,1,0,10728,0.1611
30,-1749.890167,0,1,11107,0.1530
31,-1067.281612,0,0,11525,0.1448
32,-1249.411152,1,1,11938,0.1373
33,-1438.284982,0,0,12297,0.1312
34,-235.202288,3,1,12688,0.1251
35,-1181.643830,1,1,13064,0.1197
36,-1068.929687,0,0,13398,0.1152
37,-137.352144,2,0,13832,0.1097
38,304.540146,3,0,14252,0.1049
39,-907.634407,1,0,14656,0.1007
40,-1068.108351,1,1,15070,0.0966
41,-1157.693472,0,0,15476,0.0930
42,-1465.532333,0,0,15943,0.0892
43,-1509.163614,0,0,16332,0.0862
44,51.529166,2,0,16757,0.0833
45,286.902640,3,0,17159,0.0807
46,-1205.781822,0,0,17556,0.0784
47,-1156.248671,2,2,17942,0.0763
48,-786.931070,0,0,18311,0.0744
49,-1183.068161,0,0,18719,0.0725
50,-1356.693143,0,0,19168,0.0706
51,-1826.407002,1,2,19651,0.0687
52,-1084.685840,0,0,20097,0.0671
53,-1236.446918,0,0,20470,0.0658
54,-1385.439631,1,1,20934,0.0644
55,-1758.525742,1,2,21312,0.0634
56,-1263.440763,1,1,21708,0.0624
57,-805.187258,0,0,22117,0.0614
58,-1138.161922,0,0,22440,0.0607
59,-1338.002744,0,1,22917,0.0597
60,-475.991345,1,0,23327,0.0589
61,-962.210598,1,0,23741,0.0582
62,-777.681330,1,0,24258,0.0574
63,-1390.327944,0,0,24716,0.0568
64,-1083.004922,2,1,25081,0.0563
65,-492.055192,1,0,25496,0.0558
66,-2147.205208,0,2,25920,0.0553
67,-1221.144396,0,0,26343,0.0549
68,-735.990187,1,0,26722,0.0545
69,-749.181239,1,0,27258,0.0541
70,594.929907,4,0,27675,0.0537
71,-1157.130922,0,0,28118,0.0534
72,-1398.543961,0,1,28543,0.0532
73,-824.344788,1,0,28984,0.0529
74,-124.679873,2,0,29356,0.0527
75,-1193.621953,0,0,29815,0.0524
76,-552.016451,1,0,30375,0.0522
77,-1356.268789,1,2,30754,0.0520
78,281.117118,2,0,31176,0.0519
79,-1306.729867,0,0,31642,0.0517
80,-1629.134442,0,1,32100,0.0515
81,1567.344234,5,0,32498,0.0514
82,-138.297453,2,0,32977,0.0513
83,202.653013,2,0,33418,0.0512
84,-957.605284,0,0,33789,0.0511
85,-1260.759557,0,0,34238,0.0510
86,-1029.801687,0,0,34634,0.0509
87,-1386.499995,1,1,35143,0.0508
88,-1702.408359,0,0,35520,0.0508
89,-1457.487625,0,0,35889,0.0507
90,-1845.808316,0,1,36391,0.0507
91,-1024.376244,0,0,36700,0.0506
92,-79.903211,2,0,37133,0.0506
93,-1567.580218,1,1,37570,0.0505
94,-1045.983322,0,0,38002,0.0505
95,-279.924104,2,0,38384,0.0504
96,-1216.300266,1,0,38834,0.0504
97,35.831081,2,0,39304,0.0504
98,-931.423266,1,1,39711,0.0503
99,-965.272283,0,0,40204,0.0503
100,-1267.768393,0,0,40606,0.0503
101,-847.334915,1,0,41006,0.0503
102,-1109.267661,1,0,41413,0.0502
103,-210.760011,2,0,41730,0.0502
104,-1359.489244,0,0,42061,0.0502
105,-1205.626090,0,0,42411,0.0502
106,-950.687942,2,1,42811,0.0502
107,-1615.960682,0,0,43137,0.0502
108,-2028.385901,1,2,43583,0.0502
109,-1985.909181,0,1,43967,0.0501
110,455.261105,3,0,44309,0.0501
111,-592.457644,1,0,44772,0.0501
112,-1245.416277,0,0,45210,0.0501
113,-59.913309,2,0,45576,0.0501
114,-449.959144,1,0,45946,0.0501
115,-1038.842623,0,0,46371,0.0501
116,-1031.753236,1,1,46821,0.0501
117,-994.820638,0,0,47205,0.0501
118,-1007.872666,1,1,47545,0.0501
119,-494.521937,2,0,47884,0.0501
120,-451.086958,1,0,48344,0.0501
121,580.935062,4,0,48748,0.0501
122,-1138.032559,0,0,49183,0.0501
123,-2199.457080,0,2,49544,0.0500
124,93.552952,3,1,49998,0.0500
125,-1561.699430,0,1,50291,0.0500
126,-709.593482,1,0,50676,0.0500
127,322.732466,3,0,51064,0.0500
128,-503.553775,1,0,51325,0.0500
129,1.602101,2,0,51663,0.0500
130,-12.767416,2,0,51978,0.0500
131,-1301.665497,0,0,52320,0.0500
132,-143.253029,2,0,52673,0.0500
133,378.129893,3,0,53009,0.0500
134,-1042.911403,1,0,53407,0.0500
135,-9.199478,2,0,53771,0.0500
136,-602.510481,1,0,54125,0.0500
137,-1158.502268,0,0,54469,0.0500
138,-1356.961642,0,0,54858,0.0500
139,-804.893291,2,1,55231,0.0500
140,-634.017094,1,0,55593,0.0500
141,1080.210584,4,0,55978,0.0500
142,-762.952562,1,0,56332,0.0500
143,-1078.737328,1,0,56645,0.0500
144,149.327227,3,0,57044,0.0500
145,-1324.616953,0,0,57414,0.0500
146,-1433.427234,1,1,57787,0.0500
147,-744.195289,1,0,58172,0.0500
148,372.903465,4,1,58597,0.0500
149,-647.237994,1,0,58921,0.0500
150,-1087.369727,1,1,59211,0.0500
151,-649.303562,4,2,59594,0.0500
152,-931.444249,1,0,59950,0.0500
153,-516.615211,1,0,60285,0.0500
154,-914.382113,1,0,60626,0.0500
155,-1357.760192,0,0,61035,0.0500
156,1281.078420,5,0,61387,0.0500
157,-863.071118,0,0,61719,0.0500
158,-1042.839698,1,1,62076,0.0500
159,-658.115221,1,0,62416,0.0500
160,-33.408590,2,0,62727,0.0500
161,-1411.831053,0,1,63064,0.0500
162,-1759.845743,0,1,63499,0.0500
163,-2299.020874,0,2,63937,0.0500
164,-870.912167,1,0,64323,0.0500
165,-1152.324993,1,0,64639,0.0500
166,-1043.849037,1,0,64971,0.0500
167,-867.649395,1,1,65258,0.0500
168,-1688.544925,0,1,65550,0.0500
169,92.914761,3,0,65900,0.0500
170,-1129.072936,0,0,66299,0.0500
171,-286.633501,1,0,66668,0.0500
172,-42.007731,2,0,66992,0.0500
173,-732.257604,1,1,67331,0.0500
174,-1371.140320,0,0,67658,0.0500
175,-731.754711,2,1,68036,0.0500
176,-1575.841836,0,1,68361,0.0500
177,-2046.305852,0,1,68740,0.0500
178,-938.769638,1,0,69050,0.0500
179,-1187.881205,0,0,69392,0.0500
180,-896.369002,0,0,69703,0.0500
181,-1220.116650,0,0,70060,0.0500
182,-724.470238,2,1,70384,0.0500
183,1110.595387,4,0,70671,0.0500
184,1240.486577,5,0,71035,0.0500
185,-100.946631,3,0,71337,0.0500
186,-354.309139,3,1,71712,0.0500
187,-1052.701631,0,0,72007,0.0500
188,-1206.998388,1,1,72330,0.0500
189,404.283485,3,0,72620,0.0500
190,-949.797658,1,0,72944,0.0500
191,-996.880682,1,0,73228,0.0500
192,-636.092595,1,0,73528,0.0500
193,-1166.819659,0,0,73919,0.0500
194,-349.375827,2,1,74275,0.0500
195,-576.750579,2,1,74621,0.0500
196,-848.089434,0,0,74930,0.0500
197,-437.114184,1,0,75242,0.0500
198,-1716.194993,0,0,75597,0.0500
199,-1281.657749,0,0,75959,0.0500
200,-1295.307307,0,0,76318,0.0500
201,-1502.265245,0,0,76661,0.0500
202,-1202.920584,0,0,77054,0.0500
203,67.629919,3,1,77331,0.0500
204,-1622.721601,0,1,77689,0.0500
205,-1505.254558,0,0,78001,0.0500
206,-1322.343323,0,0,78284,0.0500
207,-1135.664299,0,0,78636,0.0500
208,-108.389246,2,0,79044,0.0500
209,-1108.653035,0,0,79405,0.0500
210,-279.135024,2,0,79736,0.0500
211,-1400.445870,0,0,80104,0.0500
212,-611.371786,0,0,80431,0.0500
213,376.238340,3,0,80755,0.0500
214,-1425.644343,0,0,81154,0.0500
215,-1144.127287,0,0,81532,0.0500
216,-1521.421381,0,0,81901,0.0500
217,-890.919800,1,0,82227,0.0500
218,-1473.017822,0,0,82568,0.0500
219,-1305.655281,0,0,82876,0.0500
220,-1467.747807,0,1,83166,0.0500
