Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,-203.559921,1,1,2259,0.6547
2,301.807869,1,0,2497,0.6265
3,-317.652540,0,0,2731,0.6002
4,-946.866738,0,1,2957,0.5759
5,139.367708,2,1,3199,0.5510
6,230.832372,1,0,3452,0.5263
7,26.919372,1,0,3718,0.5016
8,-383.079440,1,1,3987,0.4780
9,194.548617,1,0,4243,0.4566
10,-273.458715,0,0,4516,0.4350
11,206.848962,1,0,4813,0.4128
12,-118.615798,0,0,5088,0.3934
13,1016.996166,4,1,5388,0.3734
14,-462.079997,0,0,5714,0.3530
15,-201.324720,0,0,6006,0.3358
16,906.539753,2,0,6340,0.3173
17,207.966989,1,0,6678,0.2999
18,-470.685617,0,0,7001,0.2842
19,-1024.291187,0,1,7299,0.2707
20,-4.802838,1,0,7592,0.2581
21,-124.794046,0,0,7906,0.2454
22,-349.336315,0,0,8214,0.2338
23,-389.625510,0,0,8542,0.2221
24,924.896212,2,0,8891,0.2105
25,-126.127627,1,0,9218,0.2003
26,-932.716878,0,1,9548,0.1907
27,-384.945039,0,0,9912,0.1809
28,156.759326,1,0,10334,0.1703
29,-187.474883,1,0,10728,0.1611
30,-745.034591,0,1,11107,0.1530
31,-352.945014,0,0,11525,0.1448
32,-461.760304,1,1,11939,0.1372
33,-596.381145,0,0,12297,0.1312
34,675.084920,3,1,12688,0.1251
35,-320.816984,1,1,13064,0.1197
36,-399.672198,0,0,13398,0.1152
37,742.455891,2,0,13833,0.1097
38,1263.147857,3,0,14252,0.1049
39,98.803682,1,0,14656,0.1007
40,-394.525979,1,1,15070,0.0966
41,-239.818011,0,0,15476,0.0930
42,-524.726501,0,0,15943,0.0892
43,-449.783943,0,0,16333,0.0862
44,645.465475,2,0,16757,0.0833
45,956.445861,3,0,17159,0.0807
46,-335.374780,0,0,17556,0.0784
47,-239.591547,2,2,17942,0.0763
48,-249.955256,0,0,18311,0.0744
49,-277.607905,0,0,18718,0.0725
50,-195.898862,0,0,19168,0.0706
51,-1093.155356,1,2,19651,0.0687
52,-281.975719,0,0,20097,0.0671
53,-606.831831,0,0,20469,0.0658
54,-549.656411,1,1,20934,0.0644
55,-1047.919732,1,2,21312,0.0634
56,-427.327673,1,1,21708,0.0624
57,-326.785789,0,0,22118,0.0614
58,-287.685620,0,0,22440,0.0607
59,-878.475905,0,1,22917,0.0597
60,139.396839,1,0,23327,0.0589
61,295.968790,1,0,23741,0.0582
62,194.121269,1,0,24258,0.0574
63,-529.362984,0,0,24716,0.0568
64,150.655767,2,1,25081,0.0563
65,323.993959,1,0,25496,0.0558
66,-1115.827148,0,2,25920,0.0553
67,-246.896110,0,0,26343,0.0549
68,-37.504560,1,0,26721,0.0545
69,-16.609003,1,0,27258,0.0541
70,1634.043764,4,0,27674,0.0537
71,-298.220337,0,0,28118,0.0534
72,-907.846780,0,1,28543,0.0532
73,226.937438,1,0,28985,0.0529
74,716.282801,2,0,29357,0.0527
75,-367.659799,0,0,29815,0.0524
76,391.235863,1,0,30376,0.0522
77,-966.139486,1,2,30754,0.0520
78,666.686175,2,0,31176,0.0519
79,-195.998627,0,0,31642,0.0517
80,-988.791720,0,1,32099,0.0515
81,2160.512676,5,0,32498,0.0514
82,763.322480,2,0,32978,0.0513
83,631.988752,2,0,33418,0.0512
84,-267.827663,0,0,33789,0.0511
85,-22.030587,0,0,34237,0.0510
86,-395.060379,0,0,34633,0.0509
87,-508.777408,1,1,35144,0.0508
88,-348.155460,0,0,35521,0.0508
89,-83.850799,0,0,35889,0.0507
90,-772.908372,0,1,36391,0.0507
91,-301.285906,0,0,36700,0.0506
92,756.191018,2,0,37132,0.0506
93,-535.021773,1,1,37570,0.0505
94,-453.511049,0,0,38002,0.0505
95,732.832302,2,0,38384,0.0504
96,-115.715998,1,0,38834,0.0504
97,596.571156,2,0,39303,0.0504
98,-441.291816,1,1,39711,0.0503
99,-298.636118,0,0,40204,0.0503
100,-184.648760,0,0,40606,0.0503
101,38.326351,1,0,41006,0.0503
102,316.891666,1,0,41414,0.0502
103,277.656803,2,0,41730,0.0502
104,-316.791452,0,0,42061,0.0502
105,-369.873917,0,0,42411,0.0502
106,258.722205,2,1,42811,0.0502
107,-317.176362,0,0,43137,0.0502
108,-951.721514,1,2,43583,0.0502
109,-813.975143,0,1,43968,0.0501
110,1285.514623,3,0,44309,0.0501
111,446.374961,1,0,44772,0.0501
112,-171.742633,0,0,45210,0.0501
113,563.406401,2,0,45577,0.0501
114,-35.515637,1,0,45945,0.0501
115,-120.694195,0,0,46371,0.0501
116,-315.142424,1,1,46820,0.0501
117,-411.213962,0,0,47206,0.0501
118,-603.098470,1,1,47545,0.0501
119,685.548433,2,0,47884,0.0501
120,325.468046,1,0,48345,0.0501
121,1777.861397,4,0,48748,0.0501
122,-199.366683,0,0,49183,0.0501
123,-1168.734884,0,2,49544,0.0500
124,843.089878,3,1,49999,0.0500
125,-689.854906,0,1,50290,0.0500
